login,id,node_id,avatar_url,gravatar_id,url,html_url,followers_url,following_url,gists_url,starred_url,subscriptions_url,organizations_url,repos_url,events_url,received_events_url,type,site_admin,score
chyyuu,2077445,MDQ6VXNlcjIwNzc0NDU=,https://avatars.githubusercontent.com/u/2077445?v=4,,https://api.github.com/users/chyyuu,https://github.com/chyyuu,https://api.github.com/users/chyyuu/followers,https://api.github.com/users/chyyuu/following{/other_user},https://api.github.com/users/chyyuu/gists{/gist_id},https://api.github.com/users/chyyuu/starred{/owner}{/repo},https://api.github.com/users/chyyuu/subscriptions,https://api.github.com/users/chyyuu/orgs,https://api.github.com/users/chyyuu/repos,https://api.github.com/users/chyyuu/events{/privacy},https://api.github.com/users/chyyuu/received_events,User,False,1.0
cch123,384546,MDQ6VXNlcjM4NDU0Ng==,https://avatars.githubusercontent.com/u/384546?v=4,,https://api.github.com/users/cch123,https://github.com/cch123,https://api.github.com/users/cch123/followers,https://api.github.com/users/cch123/following{/other_user},https://api.github.com/users/cch123/gists{/gist_id},https://api.github.com/users/cch123/starred{/owner}{/repo},https://api.github.com/users/cch123/subscriptions,https://api.github.com/users/cch123/orgs,https://api.github.com/users/cch123/repos,https://api.github.com/users/cch123/events{/privacy},https://api.github.com/users/cch123/received_events,User,False,1.0
rootsongjc,3328185,MDQ6VXNlcjMzMjgxODU=,https://avatars.githubusercontent.com/u/3328185?v=4,,https://api.github.com/users/rootsongjc,https://github.com/rootsongjc,https://api.github.com/users/rootsongjc/followers,https://api.github.com/users/rootsongjc/following{/other_user},https://api.github.com/users/rootsongjc/gists{/gist_id},https://api.github.com/users/rootsongjc/starred{/owner}{/repo},https://api.github.com/users/rootsongjc/subscriptions,https://api.github.com/users/rootsongjc/orgs,https://api.github.com/users/rootsongjc/repos,https://api.github.com/users/rootsongjc/events{/privacy},https://api.github.com/users/rootsongjc/received_events,User,False,1.0
ymcui,16095339,MDQ6VXNlcjE2MDk1MzM5,https://avatars.githubusercontent.com/u/16095339?v=4,,https://api.github.com/users/ymcui,https://github.com/ymcui,https://api.github.com/users/ymcui/followers,https://api.github.com/users/ymcui/following{/other_user},https://api.github.com/users/ymcui/gists{/gist_id},https://api.github.com/users/ymcui/starred{/owner}{/repo},https://api.github.com/users/ymcui/subscriptions,https://api.github.com/users/ymcui/orgs,https://api.github.com/users/ymcui/repos,https://api.github.com/users/ymcui/events{/privacy},https://api.github.com/users/ymcui/received_events,User,False,1.0
dongweiming,841395,MDQ6VXNlcjg0MTM5NQ==,https://avatars.githubusercontent.com/u/841395?v=4,,https://api.github.com/users/dongweiming,https://github.com/dongweiming,https://api.github.com/users/dongweiming/followers,https://api.github.com/users/dongweiming/following{/other_user},https://api.github.com/users/dongweiming/gists{/gist_id},https://api.github.com/users/dongweiming/starred{/owner}{/repo},https://api.github.com/users/dongweiming/subscriptions,https://api.github.com/users/dongweiming/orgs,https://api.github.com/users/dongweiming/repos,https://api.github.com/users/dongweiming/events{/privacy},https://api.github.com/users/dongweiming/received_events,User,False,1.0
zce,6166576,MDQ6VXNlcjYxNjY1NzY=,https://avatars.githubusercontent.com/u/6166576?v=4,,https://api.github.com/users/zce,https://github.com/zce,https://api.github.com/users/zce/followers,https://api.github.com/users/zce/following{/other_user},https://api.github.com/users/zce/gists{/gist_id},https://api.github.com/users/zce/starred{/owner}{/repo},https://api.github.com/users/zce/subscriptions,https://api.github.com/users/zce/orgs,https://api.github.com/users/zce/repos,https://api.github.com/users/zce/events{/privacy},https://api.github.com/users/zce/received_events,User,False,1.0
wu-sheng,5441976,MDQ6VXNlcjU0NDE5NzY=,https://avatars.githubusercontent.com/u/5441976?v=4,,https://api.github.com/users/wu-sheng,https://github.com/wu-sheng,https://api.github.com/users/wu-sheng/followers,https://api.github.com/users/wu-sheng/following{/other_user},https://api.github.com/users/wu-sheng/gists{/gist_id},https://api.github.com/users/wu-sheng/starred{/owner}{/repo},https://api.github.com/users/wu-sheng/subscriptions,https://api.github.com/users/wu-sheng/orgs,https://api.github.com/users/wu-sheng/repos,https://api.github.com/users/wu-sheng/events{/privacy},https://api.github.com/users/wu-sheng/received_events,User,False,1.0
sunnyxx,2410234,MDQ6VXNlcjI0MTAyMzQ=,https://avatars.githubusercontent.com/u/2410234?v=4,,https://api.github.com/users/sunnyxx,https://github.com/sunnyxx,https://api.github.com/users/sunnyxx/followers,https://api.github.com/users/sunnyxx/following{/other_user},https://api.github.com/users/sunnyxx/gists{/gist_id},https://api.github.com/users/sunnyxx/starred{/owner}{/repo},https://api.github.com/users/sunnyxx/subscriptions,https://api.github.com/users/sunnyxx/orgs,https://api.github.com/users/sunnyxx/repos,https://api.github.com/users/sunnyxx/events{/privacy},https://api.github.com/users/sunnyxx/received_events,User,False,1.0
wangfupeng1988,9583120,MDQ6VXNlcjk1ODMxMjA=,https://avatars.githubusercontent.com/u/9583120?v=4,,https://api.github.com/users/wangfupeng1988,https://github.com/wangfupeng1988,https://api.github.com/users/wangfupeng1988/followers,https://api.github.com/users/wangfupeng1988/following{/other_user},https://api.github.com/users/wangfupeng1988/gists{/gist_id},https://api.github.com/users/wangfupeng1988/starred{/owner}{/repo},https://api.github.com/users/wangfupeng1988/subscriptions,https://api.github.com/users/wangfupeng1988/orgs,https://api.github.com/users/wangfupeng1988/repos,https://api.github.com/users/wangfupeng1988/events{/privacy},https://api.github.com/users/wangfupeng1988/received_events,User,False,1.0
johnlui,2127912,MDQ6VXNlcjIxMjc5MTI=,https://avatars.githubusercontent.com/u/2127912?v=4,,https://api.github.com/users/johnlui,https://github.com/johnlui,https://api.github.com/users/johnlui/followers,https://api.github.com/users/johnlui/following{/other_user},https://api.github.com/users/johnlui/gists{/gist_id},https://api.github.com/users/johnlui/starred{/owner}{/repo},https://api.github.com/users/johnlui/subscriptions,https://api.github.com/users/johnlui/orgs,https://api.github.com/users/johnlui/repos,https://api.github.com/users/johnlui/events{/privacy},https://api.github.com/users/johnlui/received_events,User,False,1.0
lilydjwg,440661,MDQ6VXNlcjQ0MDY2MQ==,https://avatars.githubusercontent.com/u/440661?v=4,,https://api.github.com/users/lilydjwg,https://github.com/lilydjwg,https://api.github.com/users/lilydjwg/followers,https://api.github.com/users/lilydjwg/following{/other_user},https://api.github.com/users/lilydjwg/gists{/gist_id},https://api.github.com/users/lilydjwg/starred{/owner}{/repo},https://api.github.com/users/lilydjwg/subscriptions,https://api.github.com/users/lilydjwg/orgs,https://api.github.com/users/lilydjwg/repos,https://api.github.com/users/lilydjwg/events{/privacy},https://api.github.com/users/lilydjwg/received_events,User,False,1.0
thunlp,18389035,MDEyOk9yZ2FuaXphdGlvbjE4Mzg5MDM1,https://avatars.githubusercontent.com/u/18389035?v=4,,https://api.github.com/users/thunlp,https://github.com/thunlp,https://api.github.com/users/thunlp/followers,https://api.github.com/users/thunlp/following{/other_user},https://api.github.com/users/thunlp/gists{/gist_id},https://api.github.com/users/thunlp/starred{/owner}{/repo},https://api.github.com/users/thunlp/subscriptions,https://api.github.com/users/thunlp/orgs,https://api.github.com/users/thunlp/repos,https://api.github.com/users/thunlp/events{/privacy},https://api.github.com/users/thunlp/received_events,Organization,False,1.0
zhengmin1989,2987353,MDQ6VXNlcjI5ODczNTM=,https://avatars.githubusercontent.com/u/2987353?v=4,,https://api.github.com/users/zhengmin1989,https://github.com/zhengmin1989,https://api.github.com/users/zhengmin1989/followers,https://api.github.com/users/zhengmin1989/following{/other_user},https://api.github.com/users/zhengmin1989/gists{/gist_id},https://api.github.com/users/zhengmin1989/starred{/owner}{/repo},https://api.github.com/users/zhengmin1989/subscriptions,https://api.github.com/users/zhengmin1989/orgs,https://api.github.com/users/zhengmin1989/repos,https://api.github.com/users/zhengmin1989/events{/privacy},https://api.github.com/users/zhengmin1989/received_events,User,False,1.0
baoyongzhang,4636761,MDQ6VXNlcjQ2MzY3NjE=,https://avatars.githubusercontent.com/u/4636761?v=4,,https://api.github.com/users/baoyongzhang,https://github.com/baoyongzhang,https://api.github.com/users/baoyongzhang/followers,https://api.github.com/users/baoyongzhang/following{/other_user},https://api.github.com/users/baoyongzhang/gists{/gist_id},https://api.github.com/users/baoyongzhang/starred{/owner}{/repo},https://api.github.com/users/baoyongzhang/subscriptions,https://api.github.com/users/baoyongzhang/orgs,https://api.github.com/users/baoyongzhang/repos,https://api.github.com/users/baoyongzhang/events{/privacy},https://api.github.com/users/baoyongzhang/received_events,User,False,1.0
